city,date,fare,ride_id
Lake Jonathanshire,2019-01-14 00:00:00,13.83,5.74E+12
South Michelleport,2019-03-04 00:00:00,30.24,2.34E+12
Port Samanthamouth,2019-02-24 00:00:00,33.44,2.01E+12
Rodneyfort,2019-02-10 00:00:00,23.44,5.15E+12
South Jack,2019-03-06 00:00:00,34.58,3.91E+12
South Latoya,2019-03-11 00:00:00,9.52,2.00E+12
New Paulville,2019-02-27 00:00:00,43.25,7.93E+11
Simpsonburgh,2019-04-26 00:00:00,35.98,1.12E+11
South Karenland,2019-01-08 00:00:00,35.09,8.00E+12
North Jasmine,2019-03-09 00:00:00,42.81,5.33E+12
New Kimberlyborough,2019-02-07 00:00:00,9.34,7.99E+12
West Angela,2019-01-12 00:00:00,26.86,4.82E+12
Rodneyfort,2019-03-02 00:00:00,44.26,2.49E+12
West Angela,2019-01-10 00:00:00,12.74,2.11E+12
Roberthaven,2019-05-04 00:00:00,25.66,1.03E+12
North Jason,2019-03-28 00:00:00,9.19,7.01E+12
Williamsview,2019-01-03 00:00:00,18.93,1.98E+12
Leahton,2019-02-26 00:00:00,8.85,6.97E+12
West Anthony,2019-03-06 00:00:00,10.02,9.40E+12
New Kimberlyborough,2019-04-25 00:00:00,29.67,4.82E+12
Roberthaven,2019-02-24 00:00:00,7.8,2.18E+12
New Paulton,2019-05-01 00:00:00,8.28,8.53E+12
West Patrickchester,2019-03-19 00:00:00,40.86,8.99E+11
Deanville,2019-04-25 00:00:00,41.52,6.06E+12
West Josephberg,2019-02-19 00:00:00,36.39,3.32E+12
West Samuelburgh,2019-05-03 00:00:00,41.12,7.33E+12
West Heidi,2019-03-14 00:00:00,24.4,4.91E+12
Loganberg,2019-04-01 00:00:00,8.23,6.79E+11
Huntermouth,2019-02-10 00:00:00,25.79,1.88E+12
South Latoya,2019-01-11 00:00:00,27.41,8.66E+12
New Paulville,2019-03-18 00:00:00,25.05,5.03E+12
Grahamburgh,2019-01-15 00:00:00,40.69,3.07E+11
Port Frank,2019-02-02 00:00:00,41.47,6.75E+12
East Kaylahaven,2019-02-28 00:00:00,25.96,3.66E+12
Rodneyfort,2019-02-03 00:00:00,44.86,2.33E+12
South Karenland,2019-02-12 00:00:00,36.01,4.02E+12
West Robert,2019-02-15 00:00:00,12.28,1.44E+12
North Markport,2019-02-18 00:00:00,38.09,9.25E+11
Williamsview,2019-03-12 00:00:00,8.35,1.94E+12
Richardfort,2019-02-24 00:00:00,13.93,5.63E+12
New Kimberlyborough,2019-03-14 00:00:00,27.9,6.75E+12
Reynoldsfurt,2019-03-25 00:00:00,34.06,6.60E+12
South Karenland,2019-05-08 00:00:00,41.33,5.69E+12
Rodneyfort,2019-04-25 00:00:00,21.7,8.53E+12
Justinberg,2019-04-23 00:00:00,14.65,9.88E+12
West Josephberg,2019-03-05 00:00:00,12.91,1.03E+11
South Karenland,2019-03-03 00:00:00,37.3,4.10E+12
Leahton,2019-05-05 00:00:00,17.05,5.85E+12
Martinezhaven,2019-03-19 00:00:00,5.3,2.64E+11
North Jason,2019-03-03 00:00:00,28.02,2.67E+12
Jerryton,2019-03-03 00:00:00,28.08,6.00E+12
Lake Scottton,2019-02-18 00:00:00,25.02,3.91E+12
South Evanton,2019-02-14 00:00:00,42.5,9.95E+12
Rogerston,2019-05-08 00:00:00,32.69,1.64E+12
West Samuelburgh,2019-05-02 00:00:00,38.77,2.93E+12
West Ericstad,2019-04-24 00:00:00,7.31,4.29E+12
New Paulville,2019-03-10 00:00:00,4.43,1.21E+12
Hurleymouth,2019-05-04 00:00:00,21.44,4.04E+12
West Samuelburgh,2019-03-03 00:00:00,25.17,1.78E+12
Joneschester,2019-03-01 00:00:00,34.71,3.34E+12
New Paulville,2019-04-03 00:00:00,32.7,9.56E+12
Simpsonburgh,2019-01-19 00:00:00,15.83,2.33E+11
Port Angela,2019-04-17 00:00:00,16.34,7.12E+12
West Ericstad,2019-04-04 00:00:00,28.52,6.43E+12
New Kimberlyborough,2019-03-16 00:00:00,17.19,2.77E+12
Joneschester,2019-01-30 00:00:00,36.78,1.66E+12
North Markport,2019-04-26 00:00:00,44.37,1.63E+12
Hurleymouth,2019-03-22 00:00:00,32.85,8.45E+12
Barajasview,2019-01-15 00:00:00,19.52,8.27E+12
Grahamburgh,2019-04-06 00:00:00,23.87,1.47E+12
South Michelleport,2019-03-02 00:00:00,33.12,8.14E+11
Loganberg,2019-01-07 00:00:00,16.26,9.05E+12
West Christopherberg,2019-03-18 00:00:00,12.64,1.06E+12
Rogerston,2019-02-23 00:00:00,14.04,7.65E+12
Huntermouth,2019-02-24 00:00:00,39.12,9.28E+11
New Jacobville,2019-02-09 00:00:00,7.11,3.86E+12
Lake Jonathanshire,2019-04-07 00:00:00,31.25,4.44E+12
Port David,2019-03-17 00:00:00,33.11,1.03E+12
Martinezhaven,2019-02-20 00:00:00,13.34,2.76E+12
Port Frank,2019-04-19 00:00:00,26.47,6.72E+12
Valentineton,2019-03-02 00:00:00,39.77,6.77E+12
Hurleymouth,2019-03-03 00:00:00,36.31,1.67E+11
Carriemouth,2019-02-25 00:00:00,32.37,6.92E+12
Port Samanthamouth,2019-04-16 00:00:00,9.2,8.71E+12
Williamsstad,2019-01-23 00:00:00,19.62,1.26E+11
Royland,2019-01-07 00:00:00,24.5,3.62E+12
New Jacobville,2019-01-05 00:00:00,34.11,2.83E+12
Roberthaven,2019-03-06 00:00:00,12.38,3.37E+12
South Evanton,2019-01-07 00:00:00,43.61,9.12E+12
New Paulton,2019-05-03 00:00:00,21.67,9.09E+12
Karenberg,2019-03-11 00:00:00,36.15,7.80E+12
Rodneyfort,2019-01-30 00:00:00,16.99,5.78E+12
East Kaylahaven,2019-04-04 00:00:00,23.18,57422927996
Huntermouth,2019-02-19 00:00:00,7.05,1.62E+12
Barajasview,2019-01-23 00:00:00,37.68,4.11E+12
Williamsstad,2019-03-29 00:00:00,35.58,4.75E+12
North Jason,2019-03-08 00:00:00,25.21,3.18E+12
Christopherfurt,2019-04-17 00:00:00,23.3,7.82E+12
Liumouth,2019-01-11 00:00:00,36.78,1.46E+12
Johnton,2019-01-17 00:00:00,32.19,8.53E+12
West Angela,2019-03-08 00:00:00,41.06,6.20E+12
Jerryton,2019-01-04 00:00:00,37.2,5.64E+12
Erikaland,2019-02-18 00:00:00,20.62,3.29E+12
